Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO,Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO1,Sunday_2030_830pm_EST_2200_1000pm_EST___AB_PER_VM_VO2,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin3,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin4,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin5,Aramesh_Alman_NA_Marathon_Meeting_247_گروه_24_ساعته_آرامش_آلمان_Farsi_800_930_Uhr_1230_1400_Uhr_1700_1830_Uhr_1930_2100_Uhr_Berlin6,httpsus02web_zoom_usj4433442211_pwdZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09_URL,httpsus02web_zoom_usj4433442211_pwdZzkvaGlwclIxY3RyVmtUU1dCSTUwdz09
Sunday,14:30 (2:30pm) EST - 16:00 (4:00pm) EST,"
        							                    C,SD,ENG,VM,VO
        											",Miracles Happen - Scotland,,"East Coast Scotland Area, Scotland",,"ID 442 912 727, Password: miracles",https://us02web.zoom.us/j/442912727?pwd=eVl4UjN2T0FpKzY4YlRabzhEUlRBQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/442912727?pwd=eVl4UjN2T0FpKzY4YlRabzhEUlRBQT09&choe=UTF-8&chld=L|0
Sunday,15:00 (3:00pm) EST - 06:00 (6:00am) EST,"
        							                    O,ENG,VM,VO,SE
        											",New Zealand 15/7 NA  Marathon Meeting,,Auckland,,,https://us04web.zoom.us/j/343017388,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/343017388&choe=UTF-8&chld=L|0
Sunday,15:00 (3:00pm) EST - 16:00 (4:00pm) EST,"
        							                    O,RF,ENG,VM,VO
        											",Surfin' the Net for Recovery - Not High at noon,,"Santa Cruz, CA",,password: 8675309,https://zoom.us/j/717224104,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/717224104&choe=UTF-8&chld=L|0
Sunday,15:00 (3:00pm) EST - 17:00 (5:00pm) EST,"
        							                    C,To,ENG,VM,VO
        											",Sex and Relationship Meeting,,"Chicago, IL",,password: chicago,https://zoom.us/j/3720486629,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/3720486629&choe=UTF-8&chld=L|0
Sunday,15:00 (3:00pm) EST - 16:00 (4:00pm) EST,"
        							                    C,ENG,VM,LD,VO
        											",Recovery at Work Group of Narcotics Anonymous,,TX,,,https://zoom.us/j/511714487,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/511714487&choe=UTF-8&chld=L|0
Sunday,15:30 (3:30pm) EST - 16:30 (4:30pm) EST,"
        							                    O,ENG,VM,VO
        											",Stepping Up - International,,"Hilton Head, SC",,password: stepup,https://us04web.zoom.us/j/7654321953,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/7654321953&choe=UTF-8&chld=L|0
Sunday,16:00 (4:00pm) EST - 17:30 (5:30pm) EST,"
        							                    BT,D,ENG,VM,VO
        											",Together We Can,,,,ID: 825 357 74561 password: unity,https://us02web.zoom.us/j/82535774561,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82535774561&choe=UTF-8&chld=L|0
Sunday,16:00 (4:00pm) EST - 17:45 (5:45pm) EST,"
        							                    C,ENG,VM,PH,SPAD
        											",NA Infinity Group,Format: Spiritual Principle of the Day,MA,Last 15 minutes for parking lot and exchange phone numbers,,tel:Dial (978) 990-5148 Access Code 8203185#,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=Dial%20(978)%20990-5148%20Access%20Code%208203185#&choe=UTF-8&chld=L|0
Sunday,16:00 (4:00pm) EST - 17:15 (5:15pm) EST,"
        							                    RF,Tr,ENG,VM,VO
        											",The Ties That Bind Us,,Virtual,,ID: 8016553847  PW: 12steps,https://us02web.zoom.us/j/8016553847?pwd=Y1gzcmhjWUZITGRxVnVvUzRyUUtHQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/8016553847?pwd=Y1gzcmhjWUZITGRxVnVvUzRyUUtHQT09&choe=UTF-8&chld=L|0
Sunday,16:00 (4:00pm) EST - 17:30 (5:30pm) EST,"
        							                    O,SD,ENG,VM,VO
        											",NAVOH Vision of Hope Group of NA,,Moscow,Recovery From Red Square - Russia's only English Speaking Meeting,https://our-meeting-of-na.yolasite.com/,https://us02web.zoom.us/j/6164984164?pwd=ZXpMeHYvbm1mbElMcXZJcVF2eS9rUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/6164984164?pwd=ZXpMeHYvbm1mbElMcXZJcVF2eS9rUT09&choe=UTF-8&chld=L|0
Sunday,16:00 (4:00pm) EST - 17:15 (5:15pm) EST,"
        							                    C,SD,ENG,VM,VO
        											",Belfast and Beyond,,"Belfast, Ireland",,"ID: 830 5368 6295, Passcode: 697349",https://us02web.zoom.us/j/83053686295?pwd=KzVQaW0vdkJwQ0grbHJIOGxtL0NGQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83053686295?pwd=KzVQaW0vdkJwQ0grbHJIOGxtL0NGQT09&choe=UTF-8&chld=L|0
Sunday,16:00 (4:00pm) EST - 17:15 (5:15pm) EST,"
        							                    C,RF,ENG,VM,VO
        											",New Beginnings,,Virtual,,Meeting ID: 7857412888 Password: 461653,https://us06web.zoom.us/j/7857412888?pwd=cGdnQVFxSDQ0VTJoNklRUFpmU21vZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us06web.zoom.us/j/7857412888?pwd=cGdnQVFxSDQ0VTJoNklRUFpmU21vZz09&choe=UTF-8&chld=L|0
Sunday,16:30 (4:30pm) EST - 17:30 (5:30pm) EST,"
        							                    O,D,ENG,VM,VO
        											",We ought never be organized!,,"North county coastal San Diego, CA",,password: surrender,https://zoom.us/j/4802031063,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/4802031063&choe=UTF-8&chld=L|0
Sunday,17:00 (5:00pm) EST - 18:00 (6:00pm) EST,"
        							                    O,ENG,VM
        											",Aussie Morning Risers,,"Sydney, NSW, 2000",,Meeting ID: 872 1670 4884 Passcode: 031122,https://zoom.us/j/87216704884?pwd=a3Vya1ZhTmtWamZPUDVpMVdLQXlKQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/87216704884?pwd=a3Vya1ZhTmtWamZPUDVpMVdLQXlKQT09&choe=UTF-8&chld=L|0
Sunday,17:00 (5:00pm) EST - 18:00 (6:00pm) EST,"
        							                    O,RF,ENG,VM,VO
        											",Alive @ 5,,"New Haven, CT",,password: 12121212,https://us02web.zoom.us/j/491556778,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/491556778&choe=UTF-8&chld=L|0
Sunday,17:00 (5:00pm) EST - 18:15 (6:15pm) EST,"
        							                    O,RF,SD,ENG,VM,VO
        											",Stroud Soldiers 10pm,,"Stroud, Gloucestershire",,,https://us04web.zoom.us/j/150134269?pwd=MFZ6NkkyR2ZyaVVQaUsrTFFVemdkZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/150134269?pwd=MFZ6NkkyR2ZyaVVQaUsrTFFVemdkZz09&choe=UTF-8&chld=L|0
Sunday,17:30 (5:30pm) EST - 18:30 (6:30pm) EST,"
        							                    O,RF,ENG,VM
        											",5:30 Group - Serenity by the Sea,,"Broward, FL",,Password: 530530,https://us02web.zoom.us/j/4038185654,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4038185654&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 19:00 (7:00pm) EST,"
        							                    O,JT,ENG,VM
        											",NA Online Australia - Daily 'Just for Today',,QLD,,Meeting ID: 847 5377 9395 Passcode: 684576,https://us06web.zoom.us/j/84753779395?pwd=za2Hgtb8oQmZbyi1XIZobkEZYt0AxH.1,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us06web.zoom.us/j/84753779395?pwd=za2Hgtb8oQmZbyi1XIZobkEZYt0AxH.1&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 19:15 (7:15pm) EST,"
        							                    O,Tr,ENG,VM,VO
        											",QUARANTINED NA - San Diego,,"San Diego, CA",,,https://zoom.us/j/6420833054,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/6420833054&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 19:00 (7:00pm) EST,"
        							                    O,RF,ENG,VM,LD,VO
        											",PV Sunshine Online NA,,"Puerto Vallarta, MX",Format: book study Guiding Principles: The Spirit of Our Traditions,password: sunshine,https://us05web.zoom.us/j/81919900356,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us05web.zoom.us/j/81919900356&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 19:00 (7:00pm) EST,"
        							                    O,IW,ENG,PH
        											",Keeping It Real Group of NA,,NJ,,,"tel:848.220.3300, 22222222#","https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=848.220.3300,%2022222222#&choe=UTF-8&chld=L|0"
Sunday,18:00 (6:00pm) EST - 19:45 (7:45pm) EST,"
        							                    C,St,ME,ENG,VM,PH
        											",NA Infinity Group,Format: 11th Step // Meditation,MA,Last 15 minutes for parking lot and exchange phone numbers,,tel:Dial (978) 990-5148 Access Code 8203185#,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=Dial%20(978)%20990-5148%20Access%20Code%208203185#&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 19:15 (7:15pm) EST,"
        							                    O,B,ENG,VM,VO
        											",Couch Recovery,,"Fort Lauderdale, FL",,"ID 81877584039, Password: potato",https://us02web.zoom.us/j/81877584039?pwd=VW5sVDJ4bUlJL2dHbS84YXVnYm9zdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/81877584039?pwd=VW5sVDJ4bUlJL2dHbS84YXVnYm9zdz09&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,D,ENG,VM,VO,SP
        											",NAVOH Vision of Hope Group of NA,Self-care Sunday,"Frankfort, KY",,https://our-meeting-of-na.yolasite.com/,https://us02web.zoom.us/j/6164984164?pwd=ZXpMeHYvbm1mbElMcXZJcVF2eS9rUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/6164984164?pwd=ZXpMeHYvbm1mbElMcXZJcVF2eS9rUT09&choe=UTF-8&chld=L|0
Sunday,18:00 (6:00pm) EST - 20:00 (8:00pm) EST,"
        							                    St,ENG,VM,VO
        											",The Maintenance Group of NA,,"Virtual, FL","Format: Steps 10,11 & 12",password: 101112,https://us06web.zoom.us/j/83377591180?pwd=NkpyU05CdkFWdVVXeWZoRFBKZlAwUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us06web.zoom.us/j/83377591180?pwd=NkpyU05CdkFWdVVXeWZoRFBKZlAwUT09&choe=UTF-8&chld=L|0
Sunday,18:30 (6:30pm) EST - 20:00 (8:00pm) EST,"
        							                    O,GL,JT,W,ENG,VM
        											",Geelong Lotus Womens Meeting,,"Geelong, Victoria",,,https://us04web.zoom.us/j/329937153,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/329937153&choe=UTF-8&chld=L|0
Sunday,18:30 (6:30pm) EST - 19:45 (7:45pm) EST,"
        							                    O,ENG,VM,LC,VO
        											",Why We Stay,,"Amesbury, MA",,Password: 2021,https://us02web.zoom.us/j/82313573996,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82313573996&choe=UTF-8&chld=L|0
Sunday,18:30 (6:30pm) EST - 20:00 (8:00pm) EST,"
        							                    O,SG,St,BK,ENG,VM,VO
        											",HARLEM STEP STUDY GROUP OF NA,,"Harlem, NY",,"ID 830 4267 7695, password 460934",https://us02web.zoom.us/j/83042677695?pwd=empydFJadkRSb1A2Yk1jOTU2NFdXUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83042677695?pwd=empydFJadkRSb1A2Yk1jOTU2NFdXUT09&choe=UTF-8&chld=L|0
Sunday,18:30 (6:30pm) EST - 19:30 (7:30pm) EST,"
        							                    O,W,ENG,VM,VO
        											",Circle of Hope,,"Minneola, FL",,,https://zoom.us/j/6113557751,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/6113557751&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,JT,ENG,VM
        											",Sunshine Coast JFT Meeting,Dial-In passcode: 736469,"Sunshine Coast, QLD",,Meeting ID 834 0823 3946 Password: jft Numeric Password: 400656,https://us02web.zoom.us/j/83408233946?pwd=MStQMDMwZ0NiajZaNGRDdUg1OERzQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83408233946?pwd=MStQMDMwZ0NiajZaNGRDdUg1OERzQT09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:30 (8:30pm) EST,"
        							                    O,B,RF,ENG,VM,VO
        											",No Matter What Group,,"Los Angeles, CA",,"ID 636 954 6734, password: nmwg",https://us02web.zoom.us/j/6369546734,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/6369546734&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    C,BT,D,ENG,VM,VO
        											",Restored2sanity,,"Fort Worth, TX",,"ID 488 971 4302, password: zk2YLb",https://us02web.zoom.us/j/4889714302?pwd=djNtSDkrcnBjVk92bFQyTEVFVG5QZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/4889714302?pwd=djNtSDkrcnBjVk92bFQyTEVFVG5QZz09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,D,RF,ENG,HY,VO
        											",Grove Group - Temp,,"2084 N Jim Miller Rd. #103C, Dallas, TX, 75217",Behind Manna Foods,password: GroveGroup,https://us04web.zoom.us/j/4920254911,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/4920254911&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,D,ENG,VM,VO
        											",Bordeaux Group - Temp,,"Nashville, TN",,"ID 87545814630, password: 259178",https://us02web.zoom.us/j/87545814630?pwd=a2hqeXRPM3pUcVlncVRaWjArcmhEdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/87545814630?pwd=a2hqeXRPM3pUcVlncVRaWjArcmhEdz09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,To,ENG,VM,VO
        											",High on Life - Temp,,"Panama City, FL",,password: Highonlife,https://us04web.zoom.us/j/5078951081,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/5078951081&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 21:00 (9:00pm) EST,"
        							                    C,ENG,VM,VO,SP
        											",The 12 Steps of NA,Format: Wheel of Spiritual Principles,"Detroit, MI",,ID 727210620,https://us02web.zoom.us/j/727210620,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/727210620&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:30 (8:30pm) EST,"
        							                    C,BL,D,ES,ENG,FR,HY,VO
        											",L'autre côté de l'ombre,Meeting multi-langue: innu français anglais espagnol,"Maliotenam, Québec",,"ID: 830 235 3406, Code: Malio",https://us02web.zoom.us/j/8302353406?pwd=a3ZRSW9zMEZpZytCTGN0VG5hYXZkQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/8302353406?pwd=a3ZRSW9zMEZpZytCTGN0VG5hYXZkQT09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,JT,SD,ENG,VM,VO
        											",Sunday Night Online Meeting of NA,,"Philadelphia, PA",,password: 070520,https://zoom.us/j/81190883373,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/81190883373&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,D,JT,RF,To,ENG,VM,LD,VO,SP
        											",Quarantined Florida,"Quarantined Florida is a daily online meeting and Facebook group based in Orlando, FL with home group members from around the world. Formats: Open discussion,JFT,Wheel of Spiritual Principles,LGBT inclusive and open to all addicts","Orlando, FL",,"ID: 588527778, Password: 519573",https://us02web.zoom.us/j/588527778?pwd=YThhUWhsSTlERk9HbFpVT2o0NjY2UT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/588527778?pwd=YThhUWhsSTlERk9HbFpVT2o0NjY2UT09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,ENG,VM,LC,VO
        											",Living Clean,,"Atlanta, GA",,Password: 761450,https://us02web.zoom.us/j/81269789515,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/81269789515&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:30 (8:30pm) EST,"
        							                    O,GL,JT,ENG,VM,VO
        											",Zoom In On Recovery,,"Virtual, NY",,"ID 7590 7342 333, password nazoommtg",https://us02web.zoom.us/j/75907342333?pwd=MFd0OGo5dzBSbHIzY1ZORUw5Y09xZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/75907342333?pwd=MFd0OGo5dzBSbHIzY1ZORUw5Y09xZz09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:15 (8:15pm) EST,"
        							                    O,SD,WC,ENG,LD,HY,VO
        											",Alive & Kicking,Your Place Inc.,"8 Old Mill Roa, Ellsworth, ME, 04605",,ID:899 7366 5879,https://zoom.us/j/89973665879,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/89973665879&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:30 (8:30pm) EST,"
        							                    C,SD,ENG,PH
        											",Recovery On The GO - ICC-7,,PA,,,"tel:667.770.1428, 667812#","https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=667.770.1428,%20667812#&choe=UTF-8&chld=L|0"
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    BL,D,SD,ENG,FR,HY
        											",Imagine,,"Pierrefonds, Québec",,,https://us02web.zoom.us/j/650848953,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/650848953&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,ENG,VM,VO
        											",Clean On The Screen,,"Rock Creek Area, DC",,,https://zoom.us/j/72495741690,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/72495741690&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:30 (8:30pm) EST,"
        							                    O,ENG,VM,VO
        											",Changing Lanes,,"Philadelphia, PA",,,https://zoom.us/j/491365323,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/491365323&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,ENG,VM,LD,VO,SP
        											",Multistate Womens Rap,,"Richmond, VA",,password:  Fab12345,https://us02web.zoom.us/j/82229998445?pwd=eVVLMEI2OVp0RFo3UW8rTmllQ01FZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82229998445?pwd=eVVLMEI2OVp0RFo3UW8rTmllQ01FZz09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:15 (8:15pm) EST,"
        							                    O,RF,ENG,VM,VO
        											",White Mountains NA,,"Lincoln, NH",,ID 463 861 6000,https://us04web.zoom.us/j/4638616000,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/4638616000&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,BT,JT,ENG,VM,VO
        											",NorthStar Online Group,Meeting starts at 7pm EST,KY,,,https://zoom.us/j/2012572764,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/2012572764&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    BL,D,SD,ENG,FR,HY
        											",Imagine,,"Pierrefonds, Québec",,,https://zoom.us/j/88526483884,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/88526483884&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:15 (8:15pm) EST,"
        							                    C,SD,ENG,VM,VO
        											",The Yellow Submarine,,,Format: Speaker,"ID 825 6017 5348, Password: Love",https://us02web.zoom.us/j/82560175348?pwd=YWtocndWMWwwSElXbG85dmdXZlZwUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82560175348?pwd=YWtocndWMWwwSElXbG85dmdXZlZwUT09&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:30 (8:30pm) EST,"
        							                    O,RF,ENG,VM,VO
        											",The Misfits of NA,,,,,https://us02web.zoom.us/j/5054158376,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/5054158376&choe=UTF-8&chld=L|0
Sunday,19:00 (7:00pm) EST - 20:00 (8:00pm) EST,"
        							                    O,St,ENG,VM,LC,VO
        											",Sunday Night 12 Step Meeting,,"Albany, NY",,Meeting ID: 780 348 7383 Passcode: 000000,https://us06web.zoom.us/j/7803487383?pwd=K1J4L0lrd2hiZy9QSUhMeWs2bS9rUT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us06web.zoom.us/j/7803487383?pwd=K1J4L0lrd2hiZy9QSUhMeWs2bS9rUT09&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 20:30 (8:30pm) EST,"
        							                    O,JT,ENG,VM,NOV
        											",NA Rocks,,"Casa Grande, AZ",,password: 62020,https://us02web.zoom.us/j/82691510624,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82691510624&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 20:30 (8:30pm) EST,"
        							                    O,RF,ENG,VM,VO
        											",Arlington Group of NA - Temp,,"Arlington, TX",,password: 1863,https://zoom.us/j/9121277572,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://zoom.us/j/9121277572&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 20:30 (8:30pm) EST,"
        							                    O,RF,ENG,VM,VO
        											",Trust the Process Group,,Virtual,,"ID: 503 661 1198, Password R3c0v3Ry",https://us02web.zoom.us/j/5036611198?pwd=VEhLVDZ0UWxRVnV0NFRkMzBQdmlPZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/5036611198?pwd=VEhLVDZ0UWxRVnV0NFRkMzBQdmlPZz09&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 20:30 (8:30pm) EST,"
        							                    O,D,ENG,VM,VO
        											",Just for Today group of Down East Area,"ID 85759241250, password: JFTNA","Greenville, NC",,,https://us02web.zoom.us/j/85759241250?pwd=ays4WkY0dVNKSXl0UFkwRndPR3dEdz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/85759241250?pwd=ays4WkY0dVNKSXl0UFkwRndPR3dEdz09&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 20:30 (8:30pm) EST,"
        							                    O,D,RF,ENG,VM,VO
        											",The Alternative,,"Silver Spring, MD",,password: 016821,https://us02web.zoom.us/j/114114644?pwd=ODdYN0swQjhHbi9KRUlPSndiK0J3dz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/114114644?pwd=ODdYN0swQjhHbi9KRUlPSndiK0J3dz09&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 21:00 (9:00pm) EST,"
        							                    C,D,JT,ENG,VM,VO
        											",North Bay Online Connection,,"North Bay, Ontario",,"ID 122 731 547, Password: 1111",https://us02web.zoom.us/j/122731547?pwd=ZGJjMnpZK3NHVG9pSW5OSmFSU0Y1Zz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/122731547?pwd=ZGJjMnpZK3NHVG9pSW5OSmFSU0Y1Zz09&choe=UTF-8&chld=L|0
Sunday,19:30 (7:30pm) EST - 20:30 (8:30pm) EST,"
        							                    C,RF,W,ENG,VM,VO
        											",Women Do Recover,,"Tamarac, FL",This meeting is meant to be attended by women only.,"ID 82923364212, password: 987634",https://us02web.zoom.us/j/82923364212?pwd=cVY4endFMkhHNHpsejZ1bkNTUmxPZz09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/82923364212?pwd=cVY4endFMkhHNHpsejZ1bkNTUmxPZz09&choe=UTF-8&chld=L|0
Sunday,19:45 (7:45pm) EST - 20:45 (8:45pm) EST,"
        							                    O,ENG,VM,VO
        											",Hope Group - Temp,,"Madison, TN",,password: 123456,https://us04web.zoom.us/j/190038870,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us04web.zoom.us/j/190038870&choe=UTF-8&chld=L|0
Sunday,20:00 (8:00pm) EST - 21:00 (9:00pm) EST,"
        							                    O,B,D,JT,ENG,VM
        											",Dee Why Monday,,"Sydney, NSW",,ID: 832 1568 5152 PASSWORD: 121212,https://us02web.zoom.us/j/83215685152?pwd=QXZ6MGlTb1JjQVBiM2R3dnovUGtPQT09,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://us02web.zoom.us/j/83215685152?pwd=QXZ6MGlTb1JjQVBiM2R3dnovUGtPQT09&choe=UTF-8&chld=L|0
Sunday,20:00 (8:00pm) EST - 21:30 (9:30pm) EST,"
        							                    JT,ENG,VM,NOV
        											",Never Alone JFT,meeting voice chat,"Discord, WA",,,https://discord.gg/C8qvmbrV,https://chart.googleapis.com/chart?chs=100x100&cht=qr&chl=https://discord.gg/C8qvmbrV&choe=UTF-8&chld=L|0
